Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,ASTPG,TOPG,AST/TO Ratio,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,3FGPG,3FGAPG,3FG%
2013,Gonzaga (WCC),False,35,32,3,91.4,37.4,29.9,7.6,27.457142857142856,55.25714285714286,49.7,21.0,54.542857142857144,38.5,15.142857142857142,11.228571428571428,1.35,6.9714285714285715,21.114285714285714,33.0,15.657142857142857,22.2,70.5,77.0,59.9,17.2,6.457142857142857,17.4,37.1
2013,Louisville (AAC),False,40,35,5,87.5,36.8,33.2,3.6,26.2,57.5,45.6,20.625,52.225,39.5,14.6,12.375,1.18,5.525,17.4,31.8,16.3,23.0,70.9,74.5,58.8,15.7,5.75,17.275,33.3
2013,Memphis (C-USA),False,36,31,5,86.1,37.5,33.5,4.0,27.11111111111111,57.52777777777778,47.1,22.916666666666668,56.611111111111114,40.5,16.805555555555557,14.527777777777779,1.16,5.666666666666667,17.194444444444443,33.0,14.13888888888889,21.416666666666668,66.0,74.5,64.9,9.6,6.111111111111111,16.444444444444443,37.2
2013,SFA (Southland),False,32,27,5,84.4,35.9,29.0,6.9,24.125,51.53125,46.8,18.375,48.3125,38.0,15.46875,12.65625,1.22,3.96875,13.3125,29.8,12.40625,20.34375,61.0,64.8,51.2,13.6,,,
2013,Kansas (Big 12),True,37,31,6,83.8,39.2,32.9,6.2,26.62162162162162,55.37837837837838,48.1,21.2972972972973,59.0,36.1,15.54054054054054,13.972972972972974,1.11,6.378378378378378,21.027027027027028,30.3,16.10810810810811,21.864864864864863,73.7,75.2,61.9,13.2,5.837837837837838,16.054054054054053,36.4
2013,Duke (ACC),True,36,30,6,83.3,33.6,34.7,-1.1,26.666666666666668,56.47222222222222,47.2,23.666666666666668,56.916666666666664,41.6,14.305555555555555,10.63888888888889,1.34,4.444444444444445,15.305555555555555,29.0,16.333333333333332,22.11111111111111,73.9,77.2,65.3,11.9,7.5,18.77777777777778,39.9
2013,New Mexico (Mountain West),False,35,29,6,82.9,35.2,32.9,2.3,21.942857142857143,51.857142857142854,42.3,21.714285714285715,55.542857142857144,39.1,14.428571428571429,11.485714285714286,1.26,7.514285714285714,21.742857142857144,34.6,17.085714285714285,23.685714285714287,72.1,67.3,60.6,6.7,6.314285714285714,17.97142857142857,35.1
2013,Bucknell (Patriot),False,34,28,6,82.4,36.2,30.6,5.5,24.058823529411764,53.14705882352941,45.3,20.676470588235293,54.8235294117647,37.7,13.382352941176471,9.441176470588236,1.42,5.205882352941177,16.941176470588236,30.7,14.235294117647058,19.176470588235293,74.2,67.0,57.8,9.1,,,
2013,Middle Tenn. (Sun Belt),False,34,28,6,82.4,36.6,30.9,5.7,24.941176470588236,53.970588235294116,46.2,19.823529411764707,50.11764705882353,39.6,14.147058823529411,13.647058823529411,1.04,4.823529411764706,15.911764705882353,30.3,15.529411764705882,22.352941176470587,69.5,70.7,58.1,12.7,5.323529411764706,14.117647058823529,37.7
2013,Weber St. (Big Sky),False,37,30,7,81.1,36.0,29.5,6.4,26.756756756756758,52.891891891891895,50.6,22.2972972972973,55.486486486486484,40.2,14.0,12.35135135135135,1.13,3.810810810810811,13.513513513513514,28.2,14.972972972972974,20.756756756756758,72.1,75.7,61.5,14.2,7.1891891891891895,17.2972972972973,41.6
2013,Indiana (Big Ten),True,36,29,7,80.6,38.3,31.0,7.3,26.416666666666668,54.77777777777778,48.2,22.63888888888889,58.02777777777778,39.0,14.305555555555555,13.027777777777779,1.1,5.777777777777778,19.02777777777778,30.4,18.666666666666668,25.11111111111111,74.3,78.6,62.1,16.5,7.138888888888889,17.694444444444443,40.3
2013,Miami (FL) (ACC),True,36,29,7,80.6,35.8,32.6,3.1,24.86111111111111,54.666666666666664,45.5,22.083333333333332,55.19444444444444,40.0,11.333333333333334,10.694444444444445,1.06,6.277777777777778,19.27777777777778,32.6,12.916666666666666,18.88888888888889,68.4,69.7,60.6,9.1,7.055555555555555,19.47222222222222,36.2
2013,Saint Louis (Atlantic 10),False,35,28,7,80.0,32.7,32.9,-0.2,23.085714285714285,51.77142857142857,44.6,21.0,51.05714285714286,41.1,12.942857142857143,11.457142857142857,1.13,4.485714285714286,13.571428571428571,33.1,16.057142857142857,22.8,70.4,68.2,58.2,10.1,6.0,17.62857142857143,34.0
2013,Saint Mary's (CA) (WCC),False,35,28,7,80.0,37.0,28.6,8.4,26.0,55.4,46.9,21.8,52.0,41.9,14.342857142857143,11.885714285714286,1.21,5.571428571428571,14.942857142857143,37.3,14.771428571428572,20.37142857142857,72.5,74.6,62.9,11.6,7.8,20.8,37.5
2013,Michigan (Big Ten),True,39,31,8,79.5,35.0,32.1,2.9,28.025641025641026,57.94871794871795,48.4,24.128205128205128,56.94871794871795,42.4,14.487179487179487,9.435897435897436,1.54,6.205128205128205,19.102564102564102,32.5,11.538461538461538,16.46153846153846,70.1,75.2,63.3,11.9,7.589743589743589,19.71794871794872,38.5
2013,Louisiana Tech (WAC),False,34,27,7,79.4,38.3,38.2,0.1,25.205882352941178,61.529411764705884,41.0,22.676470588235293,56.23529411764706,40.3,13.352941176470589,12.382352941176471,1.08,4.647058823529412,15.970588235294118,29.1,14.794117647058824,21.235294117647058,69.7,72.6,63.3,9.4,7.4411764705882355,23.147058823529413,32.1
